Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Discount,Profit,Customer_Type,Payment_Mode
ORD0157,2025-06-06,East,Furniture,Desk,2858.25,5,0.05,904.47,Consumer,Credit Card
ORD0158,2025-06-07,South,Technology,Chair,1666.52,5,0.27,829.37,Corporate,UPI
ORD0159,2025-06-08,North,Clothing,Phone,2105.51,5,0.23,652.67,Consumer,Credit Card
ORD0160,2025-06-09,West,Clothing,Printer,2346.57,1,0.02,-81.01,Small Business,Cash
ORD0161,2025-06-10,East,Clothing,Printer,3082.85,8,0.3,368.49,Small Business,Debit Card
ORD0162,2025-06-11,North,Technology,Printer,2675.26,1,0.08,686.29,Consumer,Cash
ORD0163,2025-06-12,West,Furniture,Chair,4613.08,4,0.03,403.69,Corporate,Cash
ORD0164,2025-06-13,West,Furniture,Desk,2585.42,9,0.25,1022.52,Small Business,Cash
ORD0165,2025-06-14,South,Technology,Notebook,4962.36,9,0.21,301.44,Corporate,UPI
ORD0166,2025-06-15,North,Furniture,Headphones,4286.84,5,0.19,281.6,Small Business,UPI
ORD0167,2025-06-16,West,Technology,Monitor,1200.85,4,0.05,245.8,Consumer,UPI
ORD0168,2025-06-17,East,Furniture,Headphones,4666.86,3,0.14,332.62,Corporate,Debit Card
ORD0169,2025-06-18,East,Office Supplies,Notebook,758.56,3,0.23,624.63,Corporate,UPI
ORD0170,2025-06-19,South,Office Supplies,Monitor,4123.76,5,0.09,819.12,Corporate,Credit Card
ORD0171,2025-06-20,West,Clothing,Chair,2026.99,1,0.09,761.34,Small Business,Cash
ORD0172,2025-06-21,North,Office Supplies,Notebook,4414.28,5,0.0,950.03,Small Business,Debit Card
ORD0173,2025-06-22,East,Office Supplies,Printer,4366.67,6,0.05,1051.69,Small Business,Debit Card
ORD0174,2025-06-23,West,Office Supplies,Phone,4068.44,7,0.26,960.9,Consumer,Debit Card
ORD0175,2025-06-24,West,Technology,Laptop,3992.15,9,0.13,-75.37,Small Business,Debit Card
ORD0176,2025-06-25,South,Office Supplies,Headphones,1662.46,3,0.3,856.69,Consumer,Debit Card
ORD0177,2025-06-26,East,Office Supplies,Desk,588.41,2,0.12,170.92,Corporate,Credit Card
ORD0178,2025-06-27,East,Clothing,Desk,2134.3,3,0.21,72.81,Corporate,Cash
ORD0179,2025-06-28,North,Office Supplies,Chair,1032.92,9,0.08,730.04,Consumer,Debit Card
ORD0180,2025-06-29,East,Office Supplies,Monitor,3535.77,7,0.11,315.67,Small Business,Cash
ORD0181,2025-06-30,North,Furniture,Desk,1861.28,9,0.06,-25.75,Consumer,UPI
ORD0182,2025-07-01,East,Clothing,Printer,4882.93,2,0.1,78.92,Corporate,Debit Card
ORD0183,2025-07-02,South,Clothing,Headphones,3276.67,5,0.16,-98.79,Corporate,Debit Card
ORD0184,2025-07-03,East,Clothing,Notebook,4147.91,4,0.3,1074.19,Consumer,Cash
ORD0185,2025-07-04,North,Clothing,Printer,836.12,2,0.2,-68.0,Small Business,Debit Card
ORD0186,2025-07-05,North,Clothing,Chair,4337.67,9,0.06,172.29,Small Business,Debit Card
ORD0187,2025-07-06,South,Clothing,Printer,4629.23,9,0.01,441.14,Consumer,Debit Card
ORD0188,2025-07-07,East,Technology,Notebook,2537.9,6,0.04,363.54,Consumer,Credit Card
ORD0189,2025-07-08,East,Office Supplies,Phone,3110.01,6,0.17,1085.24,Small Business,Credit Card
ORD0190,2025-07-09,South,Clothing,Chair,3871.09,8,0.23,-47.62,Corporate,Debit Card
ORD0191,2025-07-10,East,Office Supplies,Phone,1039.23,6,0.28,565.88,Consumer,Credit Card
ORD0192,2025-07-11,East,Office Supplies,Laptop,2612.32,1,0.0,784.62,Small Business,UPI
ORD0193,2025-07-12,North,Technology,Phone,2113.58,4,0.16,1111.21,Small Business,Debit Card
ORD0194,2025-07-13,East,Clothing,Laptop,902.6,7,0.14,706.48,Corporate,UPI
ORD0195,2025-07-14,East,Furniture,Laptop,1964.17,2,0.2,944.88,Corporate,Cash
ORD0196,2025-07-15,South,Technology,Phone,527.23,9,0.17,8.84,Corporate,UPI
ORD0197,2025-07-16,South,Furniture,Chair,323.9,8,0.21,401.72,Corporate,Cash
ORD0198,2025-07-17,West,Office Supplies,Monitor,848.8,8,0.2,386.13,Corporate,Debit Card
ORD0199,2025-07-18,North,Office Supplies,Notebook,4822.95,7,0.04,1052.17,Consumer,Cash
ORD0200,2025-07-19,East,Technology,Printer,2837.74,4,0.24,96.78,Small Business,Cash
ORD0201,2025-07-20,East,Technology,Printer,4835.95,2,0.04,97.45,Consumer,UPI
ORD0202,2025-07-21,West,Furniture,Notebook,2275.99,3,0.21,327.13,Consumer,UPI
ORD0203,2025-07-22,East,Clothing,Headphones,1696.72,6,0.12,-29.19,Consumer,UPI
ORD0204,2025-07-23,North,Furniture,Headphones,2629.48,5,0.15,137.2,Consumer,Debit Card
ORD0205,2025-07-24,West,Technology,Laptop,2309.66,8,0.27,1154.77,Consumer,Debit Card
ORD0206,2025-07-25,North,Furniture,Laptop,707.19,6,0.27,456.64,Corporate,UPI
ORD0207,2025-07-26,West,Technology,Chair,3275.97,6,0.25,721.62,Corporate,Debit Card
ORD0208,2025-07-27,West,Furniture,Desk,1236.98,1,0.15,843.94,Small Business,Debit Card
ORD0209,2025-07-28,South,Technology,Phone,3174.02,4,0.22,377.05,Consumer,Cash
ORD0210,2025-07-29,North,Technology,Laptop,3320.97,5,0.15,91.4,Small Business,Cash
ORD0211,2025-07-30,East,Technology,Printer,929.72,3,0.26,168.56,Corporate,UPI
ORD0212,2025-07-31,East,Clothing,Chair,494.48,9,0.12,307.25,Corporate,Debit Card
ORD0213,2025-08-01,North,Furniture,Phone,3947.66,1,0.29,726.89,Corporate,Cash
ORD0214,2025-08-02,East,Furniture,Chair,2407.04,6,0.28,417.76,Consumer,Credit Card
ORD0215,2025-08-03,East,Furniture,Phone,479.19,6,0.22,-91.14,Consumer,Debit Card
ORD0216,2025-08-04,North,Technology,Phone,4975.36,5,0.08,580.43,Corporate,Credit Card
ORD0217,2025-08-05,West,Furniture,Notebook,477.35,5,0.04,1097.97,Small Business,UPI
ORD0218,2025-08-06,North,Furniture,Laptop,3536.17,5,0.26,955.7,Small Business,Debit Card
ORD0219,2025-08-07,West,Technology,Monitor,4921.66,6,0.05,972.77,Corporate,UPI
ORD0220,2025-08-08,East,Office Supplies,Chair,1348.06,8,0.26,933.58,Small Business,UPI
ORD0221,2025-08-09,East,Technology,Monitor,882.8,2,0.15,320.85,Corporate,UPI
ORD0222,2025-08-10,East,Furniture,Chair,782.65,6,0.12,894.75,Small Business,UPI
ORD0223,2025-08-11,South,Technology,Notebook,1655.72,1,0.27,86.11,Corporate,UPI
ORD0224,2025-08-12,West,Office Supplies,Printer,685.02,4,0.18,755.03,Small Business,Debit Card
ORD0225,2025-08-13,South,Technology,Monitor,3522.37,3,0.17,734.04,Consumer,Credit Card
ORD0226,2025-08-14,South,Furniture,Printer,499.0,9,0.17,-66.76,Corporate,Debit Card
ORD0227,2025-08-15,North,Office Supplies,Headphones,2645.23,3,0.11,924.36,Corporate,Debit Card
ORD0228,2025-08-16,South,Clothing,Laptop,4984.14,6,0.24,1074.22,Small Business,Debit Card
ORD0229,2025-08-17,North,Furniture,Laptop,4107.06,1,0.08,247.64,Corporate,Cash
ORD0230,2025-08-18,North,Office Supplies,Desk,3153.05,6,0.28,956.11,Corporate,Cash
ORD0231,2025-08-19,South,Office Supplies,Notebook,1670.02,4,0.27,7.13,Corporate,Debit Card
ORD0232,2025-08-20,West,Clothing,Printer,3194.7,8,0.1,679.96,Consumer,Credit Card
ORD0233,2025-08-21,West,Technology,Phone,2729.8,9,0.22,531.34,Consumer,Debit Card
ORD0234,2025-08-22,West,Technology,Chair,2245.2,4,0.17,609.7,Small Business,UPI
ORD0235,2025-08-23,West,Furniture,Laptop,827.41,6,0.1,1104.07,Consumer,Cash
ORD0236,2025-08-24,West,Clothing,Monitor,4455.7,1,0.3,1032.71,Small Business,Cash
ORD0237,2025-08-25,South,Technology,Chair,2358.97,4,0.01,920.61,Consumer,Debit Card
ORD0238,2025-08-26,South,Clothing,Chair,1134.19,7,0.08,255.81,Small Business,Debit Card
ORD0239,2025-08-27,East,Technology,Desk,1965.24,1,0.16,1085.36,Consumer,Credit Card
ORD0240,2025-08-28,West,Office Supplies,Printer,2187.82,8,0.16,26.76,Consumer,Credit Card
ORD0241,2025-08-29,South,Technology,Laptop,4172.18,6,0.18,1009.33,Small Business,UPI
ORD0242,2025-08-30,East,Clothing,Chair,3721.35,5,0.23,326.61,Corporate,Debit Card
ORD0243,2025-08-31,West,Office Supplies,Laptop,3892.66,9,0.19,-30.1,Corporate,Debit Card
ORD0244,2025-09-01,North,Office Supplies,Phone,252.95,2,0.18,770.16,Consumer,Debit Card
ORD0245,2025-09-02,East,Office Supplies,Desk,2197.54,5,0.02,200.66,Small Business,Cash
ORD0246,2025-09-03,South,Clothing,Phone,2510.45,6,0.11,216.64,Corporate,UPI
ORD0247,2025-09-04,North,Furniture,Laptop,292.12,7,0.07,297.86,Small Business,Credit Card
ORD0248,2025-09-05,North,Furniture,Headphones,1447.1,5,0.08,-17.21,Corporate,Cash
ORD0249,2025-09-06,North,Furniture,Monitor,3849.39,9,0.17,130.27,Small Business,Cash
ORD0250,2025-09-07,East,Clothing,Laptop,858.13,1,0.06,-93.32,Consumer,Cash
ORD0251,2025-09-08,South,Office Supplies,Printer,2769.49,7,0.09,5000.0,Small Business,Cash
ORD0252,2025-09-09,North,Furniture,Chair,1232.97,7,0.07,9.53,Corporate,UPI
ORD0253,2025-09-10,West,Clothing,Chair,258.18,4,0.28,787.45,Consumer,Debit Card
ORD0254,2025-09-11,North,Furniture,Phone,1357.77,9,0.28,206.31,Small Business,Credit Card
ORD0255,2025-09-12,North,Technology,Monitor,4884.19,5,0.18,1126.65,Corporate,Credit Card
ORD0256,2025-09-13,East,Furniture,Desk,4047.38,4,0.28,1032.63,Consumer,Cash
ORD0257,2025-09-14,East,Furniture,Headphones,4805.97,7,0.24,276.27,Small Business,Cash
ORD0258,2025-09-15,South,Office Supplies,Notebook,2541.7,4,0.18,918.18,Corporate,UPI
ORD0259,2025-09-16,West,Clothing,Monitor,726.73,3,0.0,944.22,Small Business,Cash
ORD0260,2025-09-17,East,Office Supplies,Chair,2830.21,9,0.23,1182.53,Small Business,Credit Card
ORD0261,2025-09-18,North,Office Supplies,Printer,2381.01,8,0.21,677.19,Consumer,Credit Card
ORD0262,2025-09-19,South,Office Supplies,Monitor,4252.91,1,0.18,6.56,Consumer,Debit Card
ORD0263,2025-09-20,North,Office Supplies,Phone,670.8,7,0.23,740.89,Corporate,Debit Card
ORD0264,2025-09-21,North,Office Supplies,Phone,2543.56,9,0.15,712.47,Consumer,Credit Card
ORD0265,2025-09-22,East,Furniture,Notebook,920.23,8,0.21,729.86,Corporate,Credit Card
ORD0266,2025-09-23,South,Office Supplies,Printer,1758.44,8,0.28,299.29,Small Business,UPI
ORD0267,2025-09-24,West,Office Supplies,Desk,3739.31,6,0.11,1017.58,Small Business,UPI
ORD0268,2025-09-25,West,Clothing,Monitor,2484.89,4,0.21,1147.31,Corporate,Credit Card
ORD0269,2025-09-26,East,Technology,Printer,2004.26,8,0.14,183.03,Small Business,Cash
ORD0270,2025-09-27,East,Furniture,Desk,2093.49,3,0.2,14.6,Consumer,Debit Card
ORD0271,2025-09-28,South,Furniture,Printer,2405.34,9,0.23,152.9,Small Business,Credit Card
ORD0272,2025-09-29,West,Furniture,Printer,3968.08,2,0.01,966.72,Consumer,Cash
ORD0273,2025-09-30,West,Office Supplies,Laptop,4482.01,2,0.19,779.64,Corporate,Credit Card
ORD0274,2025-10-01,West,Office Supplies,Phone,4785.61,7,0.07,726.86,Corporate,Debit Card
ORD0275,2025-10-02,North,Office Supplies,Monitor,3977.14,4,0.2,422.33,Small Business,Debit Card
ORD0276,2025-10-03,West,Clothing,Printer,1713.95,8,0.14,651.18,Small Business,UPI
ORD0277,2025-10-04,North,Technology,Monitor,3503.05,9,0.23,300.24,Consumer,UPI
ORD0278,2025-10-05,South,Office Supplies,Notebook,2300.49,7,0.04,520.36,Consumer,UPI
